order_id,product,price,conversion,order_date,campaign
1,Frypan,75000,1,2025-01-01 00:00:00,Social
2,Frypan,75000,1,2025-01-01 01:00:00,Social
3,Frypan,75000,1,2025-01-01 02:00:00,Social
4,Frypan,75000,1,2025-01-01 03:00:00,Social
5,Frypan,75000,1,2025-01-01 04:00:00,Social
6,Frypan,75000,1,2025-01-01 05:00:00,Social
7,Frypan,75000,1,2025-01-01 06:00:00,Social
8,Frypan,75000,1,2025-01-01 07:00:00,Social
9,Frypan,75000,1,2025-01-01 08:00:00,Social
10,Frypan,75000,1,2025-01-01 09:00:00,Social
11,Frypan,75000,1,2025-01-01 10:00:00,Social
12,Frypan,75000,1,2025-01-01 11:00:00,Social
13,Frypan,75000,1,2025-01-01 12:00:00,Social
14,Frypan,75000,1,2025-01-01 13:00:00,Social
15,Frypan,75000,1,2025-01-01 14:00:00,Social
16,Frypan,75000,1,2025-01-01 15:00:00,Social
17,Frypan,75000,1,2025-01-01 16:00:00,Social
18,Frypan,75000,1,2025-01-01 17:00:00,Social
19,Frypan,75000,1,2025-01-01 18:00:00,Social
20,Frypan,75000,1,2025-01-01 19:00:00,Social
21,Frypan,75000,1,2025-01-01 20:00:00,Social
22,Frypan,75000,1,2025-01-01 21:00:00,Social
23,Frypan,75000,1,2025-01-01 22:00:00,Social
24,Frypan,75000,1,2025-01-01 23:00:00,Social
25,Frypan,75000,1,2025-01-02 00:00:00,Social
26,Frypan,75000,1,2025-01-02 01:00:00,Social
27,Frypan,75000,1,2025-01-02 02:00:00,Social
28,Frypan,75000,1,2025-01-02 03:00:00,Social
29,Frypan,75000,1,2025-01-02 04:00:00,Social
30,Frypan,75000,1,2025-01-02 05:00:00,Social
31,Frypan,75000,1,2025-01-02 06:00:00,Social
32,Frypan,75000,1,2025-01-02 07:00:00,Social
33,Frypan,75000,1,2025-01-02 08:00:00,Social
34,Frypan,75000,1,2025-01-02 09:00:00,Social
35,Frypan,75000,1,2025-01-02 10:00:00,Social
36,Frypan,75000,1,2025-01-02 11:00:00,Social
37,Frypan,75000,1,2025-01-02 12:00:00,Social
38,Frypan,75000,1,2025-01-02 13:00:00,Social
39,Frypan,75000,1,2025-01-02 14:00:00,Social
40,Frypan,75000,1,2025-01-02 15:00:00,Social
41,Frypan,75000,1,2025-01-02 16:00:00,Social
42,Frypan,75000,1,2025-01-02 17:00:00,Social
43,Frypan,75000,1,2025-01-02 18:00:00,Social
44,Frypan,75000,1,2025-01-02 19:00:00,Social
45,Frypan,75000,1,2025-01-02 20:00:00,Social
46,Frypan,75000,1,2025-01-02 21:00:00,Social
47,Frypan,75000,1,2025-01-02 22:00:00,Social
48,Frypan,75000,1,2025-01-02 23:00:00,Social
49,Frypan,75000,1,2025-01-03 00:00:00,Social
50,Frypan,75000,1,2025-01-03 01:00:00,Social
51,Frypan,75000,1,2025-01-03 02:00:00,Social
52,Frypan,75000,1,2025-01-03 03:00:00,Social
53,Frypan,75000,1,2025-01-03 04:00:00,Social
54,Frypan,75000,1,2025-01-03 05:00:00,Social
55,Frypan,75000,1,2025-01-03 06:00:00,Social
56,Frypan,75000,1,2025-01-03 07:00:00,Social
57,Frypan,75000,1,2025-01-03 08:00:00,Social
58,Frypan,75000,1,2025-01-03 09:00:00,Social
59,Frypan,75000,1,2025-01-03 10:00:00,Social
60,Frypan,75000,1,2025-01-03 11:00:00,Social
61,Frypan,75000,1,2025-01-03 12:00:00,Social
62,Frypan,75000,1,2025-01-03 13:00:00,Social
63,Frypan,75000,1,2025-01-03 14:00:00,Social
64,Frypan,75000,1,2025-01-03 15:00:00,Social
65,Frypan,75000,1,2025-01-03 16:00:00,Social
66,Frypan,75000,1,2025-01-03 17:00:00,Social
67,Frypan,75000,1,2025-01-03 18:00:00,Social
68,Frypan,75000,1,2025-01-03 19:00:00,Social
69,Frypan,75000,1,2025-01-03 20:00:00,Social
70,Frypan,75000,1,2025-01-03 21:00:00,Social
71,Frypan,75000,1,2025-01-03 22:00:00,Social
72,Frypan,75000,1,2025-01-03 23:00:00,Social
73,Frypan,75000,1,2025-01-04 00:00:00,Social
74,Frypan,75000,1,2025-01-04 01:00:00,Social
75,Frypan,75000,1,2025-01-04 02:00:00,Social
76,Frypan,75000,1,2025-01-04 03:00:00,Social
77,Frypan,75000,1,2025-01-04 04:00:00,Social
78,Frypan,75000,1,2025-01-04 05:00:00,Social
79,Frypan,75000,1,2025-01-04 06:00:00,Social
80,Frypan,75000,1,2025-01-04 07:00:00,Social
81,Frypan,75000,1,2025-01-04 08:00:00,Social
82,Frypan,75000,1,2025-01-04 09:00:00,Social
83,Frypan,75000,1,2025-01-04 10:00:00,Social
84,Frypan,75000,1,2025-01-04 11:00:00,Social
85,Frypan,75000,1,2025-01-04 12:00:00,Social
86,Frypan,75000,1,2025-01-04 13:00:00,Social
87,Frypan,75000,1,2025-01-04 14:00:00,Social
88,Frypan,75000,1,2025-01-04 15:00:00,Social
89,Frypan,75000,1,2025-01-04 16:00:00,Social
90,Frypan,75000,1,2025-01-04 17:00:00,Social
91,Frypan,75000,1,2025-01-04 18:00:00,Social
92,Frypan,75000,1,2025-01-04 19:00:00,Social
93,Frypan,75000,1,2025-01-04 20:00:00,Social
94,Frypan,75000,1,2025-01-04 21:00:00,Social
95,Frypan,75000,1,2025-01-04 22:00:00,Social
96,Frypan,75000,1,2025-01-04 23:00:00,Social
97,Frypan,75000,1,2025-01-05 00:00:00,Social
98,Frypan,75000,1,2025-01-05 01:00:00,Social
99,Frypan,75000,1,2025-01-05 02:00:00,Social
100,Frypan,75000,1,2025-01-05 03:00:00,Social
101,Frypan,75000,1,2025-01-05 04:00:00,Social
102,Frypan,75000,1,2025-01-05 05:00:00,Social
103,Frypan,75000,1,2025-01-05 06:00:00,Social
104,Frypan,75000,1,2025-01-05 07:00:00,Social
105,Frypan,75000,1,2025-01-05 08:00:00,Social
106,Frypan,75000,1,2025-01-05 09:00:00,Social
107,Frypan,75000,1,2025-01-05 10:00:00,Social
108,Frypan,75000,1,2025-01-05 11:00:00,Social
109,Frypan,75000,1,2025-01-05 12:00:00,Social
110,Frypan,75000,1,2025-01-05 13:00:00,Social
111,Frypan,75000,1,2025-01-05 14:00:00,Social
112,Frypan,75000,1,2025-01-05 15:00:00,Social
113,Frypan,75000,1,2025-01-05 16:00:00,Social
114,Frypan,75000,1,2025-01-05 17:00:00,Social
115,Frypan,75000,1,2025-01-05 18:00:00,Social
116,Frypan,75000,1,2025-01-05 19:00:00,Social
117,Frypan,75000,1,2025-01-05 20:00:00,Social
118,Frypan,75000,1,2025-01-05 21:00:00,Social
119,Frypan,75000,1,2025-01-05 22:00:00,Social
120,Frypan,75000,1,2025-01-05 23:00:00,Social
121,Frypan,75000,1,2025-01-06 00:00:00,Social
122,Frypan,75000,1,2025-01-06 01:00:00,Social
123,Frypan,75000,1,2025-01-06 02:00:00,Social
124,Frypan,75000,1,2025-01-06 03:00:00,Social
125,Frypan,75000,1,2025-01-06 04:00:00,Social
126,Frypan,75000,1,2025-01-06 05:00:00,Social
127,Frypan,75000,1,2025-01-06 06:00:00,Social
128,Frypan,75000,1,2025-01-06 07:00:00,Social
129,Frypan,75000,1,2025-01-06 08:00:00,Social
130,Frypan,75000,1,2025-01-06 09:00:00,Social
131,Frypan,75000,1,2025-01-06 10:00:00,Social
132,Frypan,75000,1,2025-01-06 11:00:00,Social
133,Frypan,75000,1,2025-01-06 12:00:00,Social
134,Frypan,75000,1,2025-01-06 13:00:00,Social
135,Frypan,75000,1,2025-01-06 14:00:00,Social
136,Frypan,75000,1,2025-01-06 15:00:00,Social
137,Frypan,75000,1,2025-01-06 16:00:00,Social
138,Frypan,75000,1,2025-01-06 17:00:00,Social
139,Frypan,75000,1,2025-01-06 18:00:00,Social
140,Frypan,75000,1,2025-01-06 19:00:00,Social
141,Frypan,75000,1,2025-01-06 20:00:00,Social
142,Frypan,75000,1,2025-01-06 21:00:00,Social
143,Frypan,75000,1,2025-01-06 22:00:00,Social
144,Frypan,75000,1,2025-01-06 23:00:00,Social
145,Frypan,75000,1,2025-01-07 00:00:00,Social
146,Frypan,75000,1,2025-01-07 01:00:00,Social
147,Frypan,75000,1,2025-01-07 02:00:00,Social
148,Frypan,75000,1,2025-01-07 03:00:00,Social
149,Frypan,75000,1,2025-01-07 04:00:00,Social
150,Frypan,75000,1,2025-01-07 05:00:00,Social
151,Frypan,75000,1,2025-01-07 06:00:00,Social
152,Frypan,75000,1,2025-01-07 07:00:00,Social
153,Frypan,75000,1,2025-01-07 08:00:00,Social
154,Frypan,75000,1,2025-01-07 09:00:00,Social
155,Frypan,75000,1,2025-01-07 10:00:00,Social
156,Frypan,75000,1,2025-01-07 11:00:00,Social
157,Frypan,75000,1,2025-01-07 12:00:00,Social
158,Frypan,75000,1,2025-01-07 13:00:00,Social
159,Frypan,75000,1,2025-01-07 14:00:00,Social
160,Frypan,75000,1,2025-01-07 15:00:00,Social
161,Frypan,75000,1,2025-01-07 16:00:00,Social
162,Frypan,75000,1,2025-01-07 17:00:00,Social
163,Frypan,75000,1,2025-01-07 18:00:00,Social
164,Frypan,75000,1,2025-01-07 19:00:00,Social
165,Frypan,75000,1,2025-01-07 20:00:00,Social
166,Frypan,75000,1,2025-01-07 21:00:00,Social
167,Frypan,75000,1,2025-01-07 22:00:00,Social
168,Frypan,75000,1,2025-01-07 23:00:00,Social
169,Frypan,75000,1,2025-01-08 00:00:00,Social
170,Frypan,75000,1,2025-01-08 01:00:00,Social
171,Frypan,75000,1,2025-01-08 02:00:00,Social
172,Frypan,75000,1,2025-01-08 03:00:00,Social
173,Frypan,75000,1,2025-01-08 04:00:00,Social
174,Frypan,75000,1,2025-01-08 05:00:00,Social
175,Frypan,75000,1,2025-01-08 06:00:00,Social
